assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,20114,0,2,1,0.0,0,317,1367,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,18882,0,0,0,0.0,0,35,1316,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,18081,0,0,2,0.0,0,21,718,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17820,0,1,1,0.0,0,22,472,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17407,0,0,1,0.0,0,43,498,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17199,0,1,3,0.0,0,79,374,43,0,Aaron_Wan-Bissaka_341,0
0,0,0,0,0.0,341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17747,0,2,1,0.0,0,656,280,43,0,Aaron_Wan-Bissaka_341,0
0,0,25,1,28.0,341,0.11,0.11,0.0,0.72,0,0,5.4,14.4,90,0,0,0,0,0,30262,1,0,3,12.0,6,17865,5851,43,0,Aaron_Wan-Bissaka_341,1
0,3,29,1,12.3,341,0.05,0.05,0.0,0.67,0,0,3.4,19.2,90,0,0,0,0,0,38776,1,1,0,2.0,9,9330,1328,43,0,Aaron_Wan-Bissaka_341,1
0,0,22,1,12.0,341,0.02,0.02,0.0,0.37,0,0,2.5,8.6,68,0,0,0,0,0,62527,1,0,3,4.0,6,24321,2260,43,0,Aaron_Wan-Bissaka_341,1
0,0,15,0,0.9,341,0.01,0.05,0.04,0.65,1,0,2.0,14.6,90,0,0,0,0,0,96201,1,1,2,4.0,2,41093,10373,43,0,Aaron_Wan-Bissaka_341,1
